Label,Target,Elevation,Slope,Aspect,MeanCurv,CasCurv,GaussCurv,ProfCurv,TanCurv,TRI,VRM,VRM7,Distance_Stream500,Distance_Stream500_Elev,Distance_Stream2k,Distance_Stream2k_Elev,MS_B1,MS_B2,MS_B3,MS_B4,CIg,EVI,GNDVI,IronOxide,MSAVI2,MTVI2,NDVI,NDWI,SR,VARI,SuperGroup_Transvaal,GeoGroup_Chuniespoort,GeoGroup_Pretoria,Formation_Eccles,Formation_KarooDolerite,Formation_Lyttelton,Formation_MonteChristo,Formation_Oaktree,Formation_Rooihoogte,Formation_TimeballHill,Chert_presence,Diamictite_presence,Dolomite_presence,Limestone_presence,Mudrock_presence,Quartzite_presence,Shale_presence,Distance_Faults,Distance_Dikes,Cluster
Background,0,1616.2316895,8.7895327,315.3245239,0.0016684,0.0052407,-2.19e-05,0.0006905,0.0026463,3.8500841,0.0008497,0.0013955,52.2015343,52.306942,50.4479942,50.6181717,386,651,1074,1934,1.9708141,0.3920496,0.496325,2.7823834,0.4446104,0.8104038,0.2859043,-0.496325,1.8007449,-0.3159074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,184.4478302,3910.4243164,
Background,0,1629.8533936,2.4341938,251.5766144,0.0003176,0.0016546,-2.5e-06,5.15e-05,0.0005837,1.0812254,0.000153,0.0002257,62.1691246,62.8280411,289.1107178,290.8591614,702,1148,1392,2704,1.3554007,0.5662984,0.403946,1.982906,0.4851609,0.6059344,0.3203125,-0.403946,1.9425287,-0.132753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,519.0645142,4022.8327637,
Background,0,1617.7298584,4.378984,62.2379303,0.0008398,0.0011145,2e-07,0.0003391,0.0013405,1.9202197,9.51e-05,0.0007296,68.9637604,69.3880615,128.7633514,131.7388763,398,712,1163,2404,2.3764045,0.4849172,0.5430039,2.9221106,0.516171,0.8164407,0.3479114,-0.5430039,2.0670679,-0.3053487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,145.6193695,3509.2907715,
Background,0,1603.7845459,10.8307276,85.1113434,-0.0002061,0.0010482,-1e-06,0.0007763,-0.0011885,4.6480575,0.0002959,0.000467,45.9673805,46.1011543,43.8406219,43.8839493,361,654,1019,2049,2.1330276,0.4719142,0.5160933,2.8227146,0.5026233,0.7865131,0.3357236,-0.5160933,2.0107949,-0.2782012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1287.6431885,3661.7133789,
Background,0,1637.2098389,12.6836014,359.2033997,-0.0018468,0.003554,-5.8e-06,-0.0045973,0.0009036,5.5552645,6.46e-05,0.0005029,109.7724915,112.3331833,320.2202454,331.1324768,381,670,1036,2233,2.3328359,0.5350916,0.5384085,2.7191601,0.5359945,0.789853,0.366167,-0.5384085,2.1554055,-0.2762264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,656.2697754,3808.7858887,
Background,0,1606.321167,8.1953821,85.3892899,0.0004188,0.0006718,-1e-07,0.0009049,-6.74e-05,3.5393355,3.27e-05,0.0001464,101.8331985,102.4356155,104.2353134,104.7816391,388,666,1089,2336,2.5075076,0.5229827,0.5562958,2.8067009,0.5337653,0.8200446,0.3640876,-0.5562958,2.1450872,-0.3094367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1345.3344727,3729.8017578,
Background,0,1530.894165,10.8313465,288.636261,-0.0070783,0.0090885,1.76e-05,-0.0125916,-0.0015649,5.0386615,0.0071445,0.0296419,13.0,13.0937738,13.0,13.0937738,339,569,815,1997,2.509666,0.6800138,0.5565082,2.4041297,0.5918273,0.7637632,0.4203414,-0.5565082,2.4503067,-0.2354067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1640.9500732,2898.723877,
Background,0,1596.1209717,14.372694,256.5014038,-0.004909,0.0049773,2.34e-05,-0.0047337,-0.0050842,6.4058399,0.0001214,0.0011646,131.5218658,134.3733673,131.5218658,134.3733673,319,566,856,1905,2.3657243,0.5640392,0.5418859,2.6833856,0.5505912,0.7811229,0.3799348,-0.5418859,2.2254672,-0.2629193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1189.4276123,3305.2397461,
Background,0,1634.1257324,8.7749662,243.3250732,0.0002406,0.0020441,-4.1e-06,-0.0017727,0.0022538,3.7846386,0.000376,0.0014949,129.2516937,130.7230377,364.9780884,368.0047607,327,606,914,1851,2.0544555,0.4796765,0.5067155,2.7951071,0.5061454,0.7676853,0.3388788,-0.5067155,2.0251641,-0.2581727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927.1855469,3541.7963867,
Background,0,1645.4020996,13.1970348,35.6809273,-0.0018475,0.0037955,-7.6e-06,-0.0044827,0.0007877,5.7972822,0.0013341,0.0024968,200.5292969,202.8651886,439.5918579,443.0474243,372,633,986,1881,1.9715639,0.4467852,0.4964201,2.6505377,0.4757445,0.7802039,0.312173,-0.4964201,1.9077079,-0.2830794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,868.1917725,3627.232666,
Background,0,1618.1848145,8.2442112,333.6702881,0.0046669,0.0076002,-1.42e-05,0.0088637,0.0004701,3.8811252,0.0031117,0.0083778,72.9931488,74.0365829,213.150177,214.3616333,347,561,816,1892,2.3725491,0.6425415,0.5426009,2.3515849,0.5686455,0.764646,0.3973412,-0.5426009,2.3186274,-0.2475728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1436.8535156,3359.7216797,
Background,0,1602.4351807,20.3583145,157.4452209,0.0097306,0.012029,4.47e-05,0.0165475,0.0029137,9.5105715,0.0047467,0.0068634,51.0,52.7260704,100.4241028,102.6343994,338,581,877,1839,2.1652324,0.5266039,0.5198347,2.5946746,0.5230426,0.7726954,0.3541974,-0.5198347,2.0969212,-0.2642857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1842.8253174,2913.8190918,
Background,0,1518.8188477,4.0024762,335.2802734,0.000375,0.0009183,-6e-07,-0.0004621,0.0012121,1.7146748,2.82e-05,9.39e-05,157.3181458,157.5862427,253.0316162,253.511795,552,936,1482,3047,2.2553418,0.5016026,0.5300025,2.6847825,0.513579,0.798308,0.3455509,-0.5300025,2.0560055,-0.2926045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911.4384766,2202.7148438,
