Label,Target,Elevation,Slope,Aspect,MeanCurv,CasCurv,GaussCurv,ProfCurv,TanCurv,TRI,VRM,VRM7,Distance_Stream500,Distance_Stream500_Elev,Distance_Stream2k,Distance_Stream2k_Elev,MS_B1,MS_B2,MS_B3,MS_B4,CIg,EVI,GNDVI,IronOxide,MSAVI2,MTVI2,NDVI,NDWI,SR,VARI,SuperGroup_Transvaal,GeoGroup_Chuniespoort,GeoGroup_Pretoria,Formation_Eccles,Formation_KarooDolerite,Formation_Lyttelton,Formation_MonteChristo,Formation_Oaktree,Formation_Rooihoogte,Formation_TimeballHill,Chert_presence,Diamictite_presence,Dolomite_presence,Limestone_presence,Mudrock_presence,Quartzite_presence,Shale_presence,Distance_Faults,Distance_Dikes,Cluster
Bolts Farm,1,1486.8547363,8.7026405,158.9257965,-0.0023475,0.0032256,6e-07,-0.0041383,-0.0005567,3.7822609,1.13e-05,0.0001238,191.6898499,192.6685638,191.1569977,191.676239,341,638,844,2168,2.3981192,0.7079456,0.5452601,2.4750733,0.6106462,0.7278721,0.439575,-0.5452601,2.5687203,-0.1805434,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4263.0585938,4239.597168,1
Bolts Farm,1,1488.9095459,5.658411,137.5619354,-0.0006201,0.0017886,-2.4e-06,-0.0009426,-0.0002977,2.4301898,4.03e-05,6.05e-05,81.4923325,82.1498032,141.5662384,142.1167603,417,699,984,1938,1.7725322,0.5057788,0.4698521,2.3597121,0.4921956,0.7188589,0.3264887,-0.4698521,1.9695122,-0.2251185,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4220.9677734,4201.2480469,1
Bolts Farm,1,1496.8739014,4.488205,112.3115768,0.0005427,0.0011044,-6e-07,-7.5e-06,0.0010928,1.9580899,4.58e-05,0.0001715,274.4485474,276.1543884,343.0174866,344.9623413,367,665,862,2056,2.0917294,0.6668156,0.5112091,2.348774,0.5806801,0.7024052,0.4091844,-0.5112091,2.3851509,-0.1698276,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4540.4990234,3926.6682129,1
Bolts Farm,1,1504.3186035,7.9000854,116.822113,0.0012228,0.0012502,1.4e-06,0.0011549,0.0012906,3.4083879,3.28e-05,6.51e-05,307.5093384,309.497345,404.2783813,406.3940125,488,761,1101,2138,1.8094612,0.5098329,0.4749914,2.2561476,0.4849743,0.7347885,0.3201605,-0.4749914,1.941871,-0.2474527,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4492.0053711,3890.1240234,1
Bolts Farm,1,1507.6982422,2.6766543,171.0403595,0.001588,0.0018163,1.7e-06,0.0021387,0.0010373,1.2100631,7.59e-05,0.0002194,352.9334106,353.9286194,450.5219116,452.2766724,392,617,873,1907,2.0907617,0.6145982,0.5110935,2.2270408,0.5421478,0.7397897,0.3719425,-0.5110935,2.1844215,-0.2331512,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4453.6337891,3872.8366699,1
Bolts Farm,1,1496.6721191,6.4453464,124.8765793,0.0019402,0.0020799,3.2e-06,0.0015257,0.0023547,2.7876952,1.7e-06,3.03e-05,234.865921,236.3251801,333.4441528,334.9198303,333,567,773,2111,2.723104,0.7865961,0.5765496,2.3213212,0.6337678,0.7534974,0.463939,-0.5765496,2.7309184,-0.204568,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4563.8486328,3967.9445801,1
Bolts Farm,1,1495.6694336,6.8832445,122.0026932,0.0012375,0.0013208,1.3e-06,0.0011338,0.0013411,2.9289427,1.4e-06,1.15e-05,227.688385,229.082962,326.1058044,327.5953064,385,610,875,2134,2.4983606,0.6998332,0.5553936,2.2727273,0.5899152,0.763899,0.4184114,-0.5553936,2.4388571,-0.2409091,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4570.6972656,3973.4221191,1
Bolts Farm,1,1497.4060059,5.4104314,135.7655029,-0.0004219,0.0014194,-1.7e-06,0.000606,-0.0014498,2.3476717,2.46e-05,7.89e-05,243.4789581,245.1265259,341.7747803,343.1184692,380,664,879,1875,1.8237952,0.5790698,0.4769594,2.3131578,0.5311336,0.6931692,0.3616558,-0.4769594,2.1331058,-0.1848667,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4557.5053711,3965.4411621,1
Bolts Farm,1,1496.7340088,6.1430922,134.668457,0.0004888,0.0013228,-1.3e-06,0.0008648,0.0001128,2.6236837,3.5e-06,3.68e-05,235.7159271,237.2837982,334.260376,335.6168518,372,624,821,2053,2.2900641,0.7350835,0.5338065,2.2069893,0.6000389,0.7200923,0.4286709,-0.5338065,2.5006089,-0.1835974,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4564.3193359,3970.8718262,1
Bolts Farm,1,1495.8858643,6.6404634,129.9575653,0.0001411,0.000883,-7e-07,-0.0001814,0.0004635,2.837435,2.1e-06,3.15e-05,228.1271515,229.603714,326.8103333,328.1434631,388,646,901,2008,2.1083591,0.6143174,0.5131876,2.322165,0.5512332,0.7343639,0.3805431,-0.5131876,2.2286348,-0.2200173,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4571.1455078,3976.3203125,1
Bolts Farm,1,1504.9543457,2.1317487,125.2464905,0.0011412,0.0013133,9e-07,0.0013687,0.0009137,0.9508669,9.59e-05,0.0002614,265.4449158,266.5503845,402.8163452,405.0262146,335,582,732,2230,2.8316152,0.9110814,0.5860597,2.1850746,0.6716995,0.7307748,0.5057394,-0.5860597,3.046448,-0.1532176,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4515.953125,3951.4179688,1
Bolts Farm,1,1479.0717773,7.0968871,127.6931534,-0.0012423,0.0021756,-1.6e-06,-0.0010076,-0.0014771,3.0790541,0.0002823,0.000738,87.4185333,88.2903366,184.5562286,185.4022827,377,606,825,2215,2.6551156,0.8009681,0.5703651,2.188329,0.6274868,0.7502516,0.4572369,-0.5703651,2.6848485,-0.2077799,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4574.9047852,4053.2814941,1
Bolts Farm,1,1504.9868164,2.9182045,192.5045166,0.0007927,0.0010555,1e-07,0.0013808,0.0002045,1.2579526,5.6e-06,3.05e-05,63.6396103,63.6512604,445.6915894,446.6469116,384,556,844,1787,2.2140288,0.5935297,0.5253948,2.1979167,0.5276303,0.7772176,0.3584189,-0.5253948,2.1172986,-0.2834646,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4435.706543,3910.8547363,1
Bolts Farm,1,1503.9105225,1.9471283,182.5917206,0.0007077,0.0009634,1e-07,0.0004769,0.0009384,0.8754647,8.9e-06,4.82e-05,28.2842712,28.2880268,431.9733887,433.1126404,361,624,925,1860,1.9807693,0.4969704,0.4975846,2.5623269,0.502621,0.755945,0.3357271,-0.4975846,2.0108109,-0.253367,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4432.9145508,3914.9665527,1
Bolts Farm,1,1503.9309082,3.3535385,210.2350616,-0.0002894,0.0004882,-1e-07,-1.39e-05,-0.0005648,1.4310902,0.0001091,9.49e-05,63.4113541,63.4231834,412.0448914,412.8229065,414,685,958,1865,1.7226278,0.5028831,0.4627451,2.3140097,0.4862601,0.7122503,0.3212894,-0.4627451,1.9467641,-0.2221318,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4477.8515625,3951.3166504,1
Bolts Farm,1,1504.5900879,2.839448,158.2271881,0.0023172,0.0023902,5e-06,0.0017456,0.0028888,1.3106412,0.0001571,0.0001155,85.2115021,85.861702,410.147522,410.7763977,381,604,832,1901,2.147351,0.6620835,0.5177644,2.183727,0.5622709,0.7310767,0.3911453,-0.5177644,2.2848558,-0.2161137,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4489.8271484,3965.3000488,1
Bolts Farm,1,1488.7176514,5.0362463,94.5966187,-0.001551,0.0018186,1.5e-06,-0.0006223,-0.0024796,2.1727636,9.93e-05,0.000288,124.9079666,125.7837067,251.9146729,253.010376,419,638,911,1896,1.9717869,0.5834617,0.4964483,2.1742244,0.5194489,0.7376336,0.3509084,-0.4964483,2.0812294,-0.2415929,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4382.1396484,4164.4331055,1
Bolts Farm,1,1487.0891113,5.8882074,82.0364761,0.0002115,0.0007234,-4e-07,0.0007764,-0.0003535,2.5010617,0.0001411,0.0003782,101.5972443,102.1507034,230.2628937,231.1699524,399,638,967,2073,2.2492163,0.5661923,0.5293249,2.423559,0.5334663,0.7778406,0.3638158,-0.5293249,2.1437435,-0.2728027,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4362.0258789,4191.7758789,1
Bolts Farm,1,1489.9846191,5.0751505,78.2062302,-0.0006337,0.0006754,3e-07,-0.0006086,-0.0006589,2.1964092,0.0002065,0.0002652,131.0038147,131.5574493,238.077713,239.7579346,390,656,967,2010,2.0640244,0.5334493,0.507877,2.4794872,0.5188434,0.7572181,0.3503527,-0.507877,2.0785935,-0.2522303,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4352.2324219,4185.4301758,1
Bolts Farm,1,1494.2648926,2.7191925,190.585495,-0.0003604,0.0007209,-3e-07,0.0002201,-0.0009409,1.1653624,4.04e-05,0.0002978,166.3790894,167.2142029,260.0,260.4363098,382,653,921,1917,1.9356815,0.5437868,0.4918288,2.4109948,0.5194967,0.729826,0.3509514,-0.4918288,2.0814333,-0.2248322,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4335.5332031,4140.0004883,1
Bolts Farm,1,1493.7346191,3.7261016,172.2671661,0.0003863,0.0015872,-2.2e-06,0.0017908,-0.0010182,1.599484,2.03e-05,8.69e-05,151.0033112,151.958786,250.0,250.3980255,407,663,925,1860,1.8054298,0.5363083,0.4744352,2.2727273,0.502621,0.7166252,0.3357271,-0.4744352,2.0108109,-0.2218459,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4326.3969727,4139.4619141,1
Bolts Farm,1,1486.6043701,8.2067194,71.3157196,0.0015989,0.0026819,-2.1e-06,-0.0005151,0.0037129,3.562727,0.0001411,0.0003153,220.0,221.7381592,259.3472595,260.8644714,503,827,1172,2405,1.9081016,0.5440826,0.4882426,2.33002,0.51263,0.7304583,0.3447023,-0.4882426,2.0520477,-0.230615,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4528.0805664,3761.126709,1
Bolts Farm,1,1485.2565918,8.111352,76.1166611,0.0021501,0.0028184,1.3e-06,0.0003599,0.0039402,3.5338764,0.0001456,0.000343,219.9113464,220.8641052,249.7218475,251.1876373,389,681,894,2256,2.3127754,0.723929,0.5362615,2.2982006,0.6036704,0.7204565,0.4323809,-0.5362615,2.52349,-0.1795953,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4535.3579102,3756.0102539,1
Bolts Farm,1,1483.9190674,8.419034,90.0914383,0.0011836,0.0017216,-2e-07,3.99e-05,0.0023273,3.6050558,6.34e-05,0.0002157,229.2182312,229.8998718,243.1892242,244.4901886,355,627,801,2294,2.6586921,0.8409373,0.570695,2.2563381,0.6507787,0.7280414,0.4823909,-0.570695,2.8639202,-0.1621622,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4549.4936523,3759.5097656,1
Bolts Farm,1,1498.5019531,9.864315,109.7859116,-0.0013896,0.0027616,-3.8e-06,-0.0035748,0.0007956,4.2608562,0.0002404,0.0003634,291.4807129,296.4656372,364.9671326,367.1103516,446,755,1041,2326,2.0807948,0.6144797,0.5098994,2.3340807,0.5523974,0.7278274,0.3816454,-0.5098994,2.23439,-0.2118519,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4490.8476562,3868.8171387,1
Bolts Farm,1,1470.989502,9.1146488,76.241272,-0.0003712,0.0017937,-2.9e-06,-0.0018421,0.0010997,3.9363251,3.68e-05,0.0001302,102.9562988,104.1312027,120.0,120.4137115,342,596,703,2356,2.9530201,1.0305486,0.5962059,2.0555556,0.7015685,0.7166806,0.5403727,-0.5962059,3.3513513,-0.1118077,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4537.1152344,3582.987793,1
Bolts Farm,1,1471.3198242,8.7919073,83.3840256,0.0008375,0.0020003,-2.6e-06,-0.0007854,0.0024604,3.7649305,4.28e-05,7.85e-05,111.8033981,113.0202942,120.0,120.4073334,294,573,677,2365,3.1273997,0.9992896,0.6099387,2.302721,0.7136989,0.724895,0.5548981,-0.6099387,3.4933531,-0.1087866,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4543.6850586,3591.5905762,1
Bolts Farm,1,1475.6326904,6.8137126,85.6404266,0.0006795,0.001058,-2e-07,0.0014247,-6.56e-05,2.962188,6.54e-05,0.0002068,129.5415039,130.539978,150.0,150.5528107,345,609,736,2483,3.0771756,1.0127536,0.6060802,2.1333334,0.7035424,0.7291996,0.5427151,-0.6060802,3.3736413,-0.127,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4527.7426758,3615.5100098,1
Bolts Farm,1,1473.9089355,5.0651984,104.7178497,-0.0001829,0.002871,-8.2e-06,-0.0016935,0.0013277,2.2236135,0.0002454,0.0006995,140.2889862,140.8814392,140.2889862,140.8814392,372,607,798,2309,2.8039539,0.876857,0.5836763,2.1451614,0.6543469,0.7441343,0.4863212,-0.5836763,2.8934836,-0.1848984,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4568.4477539,3653.4367676,1
Bolts Farm,1,1484.7061768,8.0948763,109.8093338,-0.00082,0.0012609,-2e-07,-0.0013794,-0.0002606,3.4915724,0.0004384,0.0015405,180.0,180.9346313,241.7457275,242.9052734,408,748,959,2532,2.3850267,0.7523436,0.5439025,2.3504901,0.6212016,0.7154419,0.4505872,-0.5439025,2.6402502,-0.1624326,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4508.0410156,3721.590332,1
Bolts Farm,1,1471.1101074,9.6812496,71.7697372,0.0017553,0.0030881,-3.4e-06,0.004144,-0.0006335,4.1989369,0.0005023,0.0010805,113.7585144,114.6290054,113.7585144,114.6290054,397,652,888,2347,2.5996933,0.7763116,0.5651884,2.2367759,0.6215945,0.7480963,0.4510046,-0.5651884,2.643018,-0.2064742,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4604.140625,3655.3317871,1
Bolts Farm,1,1506.9033203,1.3319948,91.1259003,0.0014601,0.0021677,-4e-07,0.0030348,-0.0001147,0.6502389,0.000124,0.0002306,221.9031372,222.2798004,492.6469421,493.9710083,364,634,851,2327,2.670347,0.7844388,0.5717663,2.3379121,0.6342432,0.7457913,0.4644431,-0.5717663,2.7344301,-0.1935772,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4096.3754883,3535.4892578,1
Bolts Farm,1,1483.0617676,7.5283527,97.0562744,-0.0010338,0.0027843,-5.6e-06,0.001405,-0.0034726,3.3002906,2.81e-05,0.0005346,189.2643585,189.8852234,233.2830963,234.4863129,369,653,821,2547,2.9004595,0.9168172,0.591875,2.2249322,0.6776171,0.7336391,0.5124703,-0.591875,3.1023142,-0.1520362,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4522.1733398,3725.1245117,1
Bolts Farm,1,1474.994873,6.1408634,100.6592865,-0.0017972,0.0021228,2e-06,-0.0007641,-0.0028303,2.6494753,0.0002534,0.0007704,174.4161682,175.4231567,174.4161682,175.4231567,452,743,1013,2469,2.3230147,0.7056999,0.5373599,2.2411504,0.5896634,0.7358562,0.4181505,-0.5373599,2.437315,-0.2070552,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4566.3129883,3694.5097656,1
Bolts Farm,1,1485.9425049,8.0030832,66.1609726,-0.0014586,0.0015821,1.8e-06,-0.0019414,-0.0009757,3.4589114,8.91e-05,0.0003515,210.0,211.7230988,256.8676758,258.3071899,466,783,1156,2394,2.0574713,0.530329,0.5070822,2.4806867,0.517074,0.757627,0.3487324,-0.5070822,2.0709343,-0.2532247,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4521.2226562,3752.5078125,1
Bolts Farm,1,1484.7416992,7.7014775,69.586113,9.41e-05,0.0014965,-2.2e-06,0.0002036,-1.54e-05,3.3409779,0.0001044,0.0003583,209.9547577,210.8729858,247.1457062,248.5572205,358,653,891,2355,2.606432,0.7295196,0.5658244,2.4888268,0.6216061,0.7490582,0.4510166,-0.5658244,2.6430976,-0.2006745,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4528.5112305,3747.4221191,1
Rising Star,1,1466.6694336,7.782423,17.3590298,0.0004969,0.0020815,-3.8e-06,-0.0014586,0.0024525,3.3085155,0.0005221,0.0003611,53.6003723,53.9470329,52.5547333,53.2587166,452,818,1251,2520,2.0806847,0.4780021,0.5098861,2.767699,0.5035218,0.7754617,0.3365155,-0.5098861,2.0143886,-0.2677798,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3501.5957031,2759.1311035,2
Rising Star,1,1466.1651611,6.9519119,23.993145,-0.0006802,0.0021479,-3.7e-06,-0.0024502,0.0010899,3.0326433,0.0003703,0.0003436,54.9181213,55.1864357,56.9385643,57.6848068,400,789,1124,2697,2.418251,0.610447,0.5473322,2.8099999,0.5831956,0.7578827,0.4116723,-0.5473322,2.3994663,-0.2214144,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3509.890625,2766.2075195,2
Rising Star,1,1465.6862793,5.7772307,22.7384834,-0.0013503,0.0020455,-5e-07,-0.0020714,-0.0006292,2.5521517,0.0001636,0.0002751,56.1426735,56.3899345,60.0,60.1320496,469,821,1184,3004,2.6589525,0.6902829,0.5707189,2.5245202,0.6058191,0.7719086,0.434575,-0.5707189,2.5371621,-0.2363281,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3518.1945801,2773.302002,2
Rising Star,1,1468.0655518,6.8295007,25.00037,0.0045484,0.0046725,1.95e-05,0.004314,0.0047828,3.0839291,0.0005066,0.0003369,63.5059052,63.8951874,61.9838676,62.7114944,439,772,1115,2529,2.2759068,0.5963728,0.5322629,2.5398633,0.5590655,0.7575758,0.3880351,-0.5322629,2.2681615,-0.2368785,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3507.1972656,2766.2148438,2
Rising Star,1,1467.333374,6.8033924,34.3618317,0.0016396,0.0028269,-2.6e-06,0.001299,0.0019803,2.9151347,0.0003594,0.0003117,64.7765427,65.1533508,65.7419205,66.5913849,351,682,854,2557,2.7492669,0.8431528,0.5788824,2.4330485,0.6659713,0.7256069,0.4992671,-0.5788824,2.9941452,-0.1451477,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3515.4790039,2773.2731934,2
Rising Star,1,1466.6502686,5.8098426,31.2430401,-0.0002378,0.0025746,-6.5e-06,-5.42e-05,-0.0004215,2.508513,0.0002232,0.0002317,66.0984116,66.3650208,70.0,70.1609573,423,786,1051,3066,2.9007633,0.8124345,0.5919003,2.4846337,0.6571714,0.753607,0.4894341,-0.5919003,2.9172218,-0.1874116,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3523.7697754,2780.3496094,2
Rising Star,1,1468.8544922,5.3493118,38.027462,0.0020699,0.0020961,4.2e-06,0.0018394,0.0023003,2.3508248,0.0003375,0.0003112,73.4370499,73.8292847,71.5681458,72.2805099,476,805,1208,2582,2.2074535,0.5486344,0.5246531,2.5378151,0.5320974,0.7716548,0.362533,-0.5246531,2.1374173,-0.2621991,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3512.8183594,2773.3164062,2
Rising Star,1,1468.1439209,5.9152122,42.978199,0.0004737,0.0006605,0.0,0.000797,0.0001504,2.5082579,0.000232,0.0002888,74.6726151,75.0945511,74.8465118,75.7321091,445,743,1133,2538,2.4158816,0.5854654,0.5470893,2.5460675,0.5535368,0.7864229,0.3827295,-0.5470893,2.2400706,-0.2725367,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3521.0869141,2780.3569336,2
Rising Star,1,1467.4111328,5.5108986,36.8617363,-0.0014487,0.0018849,6e-07,-0.0011295,-0.0017679,2.3572195,0.00019,0.0002199,75.9539337,76.3246384,79.2590714,79.9813538,468,836,1253,2611,2.1232057,0.5128399,0.5149405,2.6773505,0.5200595,0.7676222,0.3514493,-0.5149405,2.0837989,-0.2572486,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3529.364502,2787.4152832,2
Rising Star,1,1473.0380859,9.0336733,34.2746811,-0.0022757,0.0026417,3.4e-06,-0.0032453,-0.0013062,3.8636041,0.0003127,0.0006751,71.0,71.1100998,180.2248535,180.7167358,409,703,1011,2457,2.4950213,0.6625126,0.5550633,2.4718826,0.5884733,0.7647888,0.416955,-0.5550633,2.4302671,-0.2360153,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3610.857666,2879.7888184,2
Rising Star,1,1472.2000732,8.0888128,35.3166809,-0.0018247,0.0032554,-3.9e-06,-0.0044607,0.0008114,3.511416,0.0003225,0.0007555,61.0,61.0751228,181.0,181.549942,496,813,1169,2619,2.2214022,0.6129523,0.5262238,2.3568549,0.5535992,0.75322,0.3827878,-0.5262238,2.2403765,-0.2395693,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3619.0402832,2886.7429199,2
Rising Star,1,1471.4138184,6.5647721,40.52985,-0.0017038,0.0035615,-6.9e-06,-0.0048273,0.0014197,2.9479456,0.0002958,0.0008739,51.0,51.0450554,182.3211517,182.9648438,521,889,1304,2712,2.0506186,0.5309601,0.5062482,2.5028791,0.519128,0.7542435,0.3505976,-0.5062482,2.0797546,-0.2482057,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3627.2321777,2893.7145996,2
Rising Star,1,1474.5737305,9.5523911,33.8986855,0.0015474,0.001591,2.3e-06,0.0015224,0.0015724,4.0507178,0.0003817,0.000905,71.0,71.1922455,190.2130432,190.7791901,452,742,1035,2618,2.528302,0.7276154,0.5583333,2.2898231,0.6046144,0.7541095,0.4333425,-0.5583333,2.5294685,-0.2211321,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3616.6218262,2886.9921875,2
Rising Star,1,1473.5544434,9.440424,39.3372421,0.0009606,0.0021449,-2.8e-06,-0.0009443,0.0028654,4.0193262,0.0006015,0.0009231,61.0,61.1419411,190.9476318,191.5574188,396,726,957,2529,2.4834712,0.7412297,0.5539171,2.4166667,0.621543,0.7307643,0.4509466,-0.5539171,2.6426332,-0.1794872,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3624.7915039,2893.9287109,2
Rising Star,1,1472.4169922,8.4874811,46.0733566,-0.0007059,0.0029115,-7.5e-06,-0.0035242,0.0021123,3.6442304,0.0006191,0.0010056,51.0,51.0805397,192.2004089,192.8831177,457,794,1116,2617,2.2959697,0.6374756,0.5344474,2.442013,0.5735108,0.7469743,0.4020895,-0.5344474,2.3449821,-0.2216105,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3632.9702148,2900.8833008,2
Rising Star,1,1475.9057617,9.9374599,31.1366329,-0.0003962,0.0035601,-1.24e-05,-0.0012419,0.0004495,4.2275763,0.0007488,0.0012819,71.0,71.2606506,200.2023926,200.8262177,463,796,1098,2641,2.3178391,0.6699957,0.5368053,2.3714902,0.5842024,0.7402992,0.4126772,-0.5368053,2.4052823,-0.2110412,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3622.4042969,2894.2121582,2
Rising Star,1,1474.8222656,10.8410282,38.0851784,-0.0013348,0.0039324,-1.19e-05,-0.0027669,9.73e-05,4.6530313,0.0009441,0.0011508,61.0,61.2039795,200.9004669,201.5733337,454,758,1080,2505,2.3047493,0.6383265,0.5353969,2.3788545,0.5688133,0.7530671,0.3974895,-0.5353969,2.3194444,-0.232659,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3630.5610352,2901.1315918,2
Rising Star,1,1473.5001221,10.751936,42.7930946,-0.0031489,0.004549,-9e-07,-0.0048336,-0.0014642,4.6878281,0.0009412,0.0011238,51.0,51.1267815,202.091568,202.8356476,485,804,1129,2429,2.0211444,0.5838498,0.5026292,2.3278351,0.5351484,0.7326277,0.3653738,-0.5026292,2.1514614,-0.2244475,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3638.7268066,2908.0688477,2
Rising Star,1,1478.4865723,2.5980086,358.3050842,-0.0015782,0.0016556,2.2e-06,-0.0015512,-0.0016051,1.1556699,3.21e-05,5.57e-05,114.634201,115.2255936,219.2760773,219.8119659,548,892,1352,2620,1.9372197,0.4786351,0.4920273,2.4671533,0.4839218,0.7648419,0.3192346,-0.4920273,1.9378698,-0.2712264,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3575.2641602,2861.692627,2
Rising Star,1,1478.5839844,2.3753743,340.5887756,-0.0010874,0.0012859,7e-07,-0.0007968,-0.0013779,1.0503832,1.78e-05,9.41e-05,108.7244186,109.4560547,219.0022888,219.544693,545,879,1326,2547,1.8976109,0.4757266,0.4868652,2.4330275,0.4793385,0.7605848,0.3152595,-0.4868652,1.9208145,-0.2692771,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3583.3046875,2868.411377,2
